3.3E+23,-1.96E-01,2.64E-01,3.93E-02,-2.93E-02,-1.58E-02,1.43E-03,
4.87E+24,-6.01E-01,3.97E-01,4.02E-02,-1.23E-02,-1.70E-02,5.51E-04,
5.97E+24,-8.02E-01,-6.04E-01,1.46E-04,8.98E-03,-1.37E-02,1.42E-04,
6.42E+23,7.87E-01,1.27E+00,7.36E-03,-1.25E-02,8.62E-03,6.01E-04,
1.898E+27,-4.32E+00,3.17E+00,8.36E-02,-5.70E-03,-5.69E-03,2.68E-04,
5.68E+26,-4.89E+00,-8.68E+00,3.46E-01,3.41E-03,-2.71E-03,8.56E-06,
8.68E+25,1.92E+01,5.68E+00,-2.27E-01,-2.29E-03,3.63E-03,1.71E-04,
1.02E+26,2.77E+01,-1.15E+01,-4.01E-01,3.86E-05,2.96E-03,5.52E-05,
1.31E+22,7.76E+00,-3.19E+01,1.17E+00,1.97E-03,1.40E-04,-7.81E-04,
,,,,,,,
